iter	Passed	Remaining
206	164695	630933
207	165611	630598
208	166531	630270
209	167425	629837
210	168226	6290552211	169011	6282142212	169929	6278592213	170737	6271012214	171522	6262552215	172378	6256702216	173228	6250602217	174064	6243972218	174901	6237372219	175644	6227402220	176480	6220742221	177319	6214162222	178224	6209882223	179076	6203722224	180043	6201512225	180883	6194842226	181847	6192412227	182666	6185012228	183565	6180322229	184478	6176012230	185339	6169972231	186236	6165072232	186990	6155432233	187868	6149882234	188720	6143452235	189518	6135272236	190440	6131042237	191204	6121752238	191944	6111712239	192881	6107902240	193733	6101392241	194678	6097792242	195532	6091272243	196409	6085472244	197271	6079182245	198197	6074832246	199113	6070142247	199937	6062612248	200930	606017
249	201817	605453
250	202655	604737
251	203553	6041992252	204429	6035912253	205303	6029782254	206190	6023992255	207016	6016402256	207892	6010282257	208783	6004542258	209613	5997052259	210552	5992662260	211346	5984092261	212260	5978922262	213195	5974322263	214032	5966972264	214899	5960412265	215833	595569
266	216729	594992
267	217656	594494
268	218607	594058
269	219495	593450
270	220474	593085
271	221343	592419
272	222286	591950
273	223092	591112
274	223935	590375
275	224759	589587
276	225696	589092
277	226598	588503
278	227507	587932
279	228328	587130
280	229150	586330
281	230017	585648
282	230904	585011
283	231813	584430
284	232689	583764
285	233581	583136
286	234383	582284
287	235311	581742
288	236144	580965
289	236958	580140
290	237810	579408
291	238686	578732
292	239595	578136
293	240515	577563
294	241428	576973
295	242308	576301
296	243169	575582
297	244010	574816
298	244803	573938
299	245734	573380
300	246587	572639
301	247535	572118
302	248367	571327
303	249360	570904
304	250219	570172
305	251189	569691
306	252073	569013
307	252938	568289
308	253751	567450
309	254585	5666583310	255440	5659123311	256358	5653043312	257231	5645933313	258078	5638273314	258923	5630563315	259853	5624683316	260738	5617803317	261591	5610223318	262536	5604623319	263378	5596803320	264242	5589423321	265137	5582703322	266100	5577403323	267060	557201
324	267907	5564223325	268785	5557103326	269702	555076
327	270659	554521
328	271652	554039
329	272601	553463
330	273554	552894
331	274389	552085
332	275212	551251
333	276156	550659
334	277016	549898
335	277946	549275
336	278863	548624
337	279778	547968
338	280728	547379
339	281620	546675
340	282568	546077
341	283395	545247
342	284282	544528
343	285180	543832
344	286021	543026
345	286931	542349
346	287826	541644
347	288759	541008
348	289727	540437
349	290657	539792
350	291619	539205
351	292456	538386
352	293435	537826
353	294282	537023
354	295218	536382
355	296173	535775
356	296997	534929
357	297936	534288
358	298826	533558
359	299722	532840
360	300714	532289
361	301640	531619
362	302553	530926
363	303467	530234
364	304411	529592
365	305301	528856
366	306300	528305
367	307158	527511
368	308024	526730
369	309086	526282
370	310051	525667
371	310884	524826
372	311760	524058
373	312711	523415
374	313631	522719
375	314560	522036
376	315414	521229
377	316319	520504
378	317297	519899
379	318234	519225
380	319190	518579
381	319962	517635
382	320906	516969
383	321847	516296
384	322777	515605
385	323646	514816
386	324582	5141323387	325511	5134353388	326460	5127693389	327412	512106
390	328319	5113733391	329279	510719
392	330220	510035
393	331213	509429
394	332116	508685
395	333081	508033
